names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
PROX1,1.87429,0.4527891,0.060890472635934834,0.12819046870723125,0.023346546396579168
RGS1,1.8543204,-0.03271081,0.06369332974525772,0.13350566933503802,0.026218046755516713
TNFSF13B,1.8465959,0.5106913,0.06480573886896145,0.13524675937870215,0.021723524454570993
IL9R,1.815069,0.9862747,0.06951330777632186,0.14444323693781166,0.017353849995318207
CSF2RA,1.7731047,0.73235565,0.07621136879702044,0.1576786940628009,0.017884453322513188
SPI1,1.7481395,0.86100054,0.0804398717869806,0.16571304059120467,0.016885670588969694
SLC12A1,1.730006,-0.5288219,0.08362921387451933,0.17154710538362938,0.05156215861918287
S1PR3,1.6894748,-0.15855063,0.09112846901710521,0.18613474522642767,0.023034426792346827
CXCR4,1.6847351,1.0773113,0.09203970114612998,0.18719939216162032,0.015605980211617092
NRXN1,1.6752706,0.8338413,0.09388116861090527,0.19013907566765623,0.01754112175785761
LTB,1.6406369,1.9835278,0.10087280812050277,0.20344095755395517,0.013639626704953339
CEACAM1,1.6305741,-0.045394704,0.10298022616667729,0.20682221154813848,0.027123193607790506
CD3G,1.616403,1.1949762,0.10600722319423245,0.2120144463884649,0.014419925715534193
P2RX7,1.5977526,0.6834034,0.11009806481887857,0.21928245275129343,0.016885670588969694
IL18R1,1.5821829,-0.016905049,0.11360781886595354,0.22533782254404008,0.02284715502980742
IL7R,1.5749846,0.9612945,0.1152600240695085,0.2269180497333452,0.014950529042729173
SLCO2B1,1.5734957,0.06060928,0.11560407905856437,0.2269180497333452,0.022191703860919506
CXCL9,1.5725513,0.5995616,0.11582275455139494,0.2269180497333452,0.0183526327288617
NOD1,1.5699743,-0.42488128,0.1164210803703909,0.22716308364954324,0.03951434189581447
ITGA1,1.5665432,-0.57434237,0.11722148936417828,0.22779884572795783,0.18118543025687445
NCAM1,1.5617775,-0.13530704,0.11834040926320595,0.22904595341265666,0.023658666000811512
FCGR3A,1.5533265,1.5132353,0.12034516957579312,0.2319906883388783,0.013265083179874527
CAMK1D,1.5349993,-0.42181492,0.12478400100527388,0.2386431908000017,0.03370891725709292
TRAC,1.5349728,1.6430402,0.12479050185583423,0.2386431908000017,0.013483566902837167
RNASE2,1.5301692,0.8239152,0.12597485037476266,0.23995209595192887,0.014638409438496832
C1QB,1.5263479,2.1020243,0.12692324505634775,0.24080299457330798,0.01201660476294516
RAMP1,1.5189419,1.0910518,0.12877711874113462,0.24335833462891582,0.01373326258622304
CXCL3,1.4936504,-0.2716849,0.13526702318838185,0.2544707327760447,0.024501388932238834
CD3D,1.4919292,1.9604172,0.13571772414722383,0.2544707327760447,0.012359936327600737
ITGA4,1.4848781,0.7552957,0.13757612324469354,0.2569515142313342,0.015262648646961516
SLC13A1,1.4699167,-0.35173374,0.14158432990132053,0.2634127067931545,0.05209276194637785
GPR183,1.4515444,1.0596422,0.14662833629286476,0.27074564977460885,0.01314023533818159
ITGAM,1.4514525,0.73406476,0.14665389362791312,0.27074564977460885,0.016667186866007055
CD33,1.4411224,1.1293213,0.14955009802203406,0.2750346630290282,0.0134211429819907
PLVAP,1.4083004,1.5098587,0.15904214577876452,0.2913749235641488,0.012359936327600737
