names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
DPH6,18.465933,0.26283613,3.8826279778813194e-76,3.2762078622000337e-75,0.5110624188012642
AZIN1-AS1,18.465916,0.14489454,3.88385718076567e-76,3.2764124448715267e-75,0.2598747358011285
GATAD1,18.46511,0.15589166,3.9421937862881974e-76,3.324780352550503e-75,0.1770568730488065
GCC2,18.456749,0.1837705,4.602287947649638e-76,3.8805070851640066e-75,0.45791239262376143
MRNIP,18.453053,0.64272356,4.928166818341757e-76,4.1542231793912083e-75,0.10600919121211534
SULT1C2,18.450705,0.13316019,5.1469011023172294e-76,4.337505182775159e-75,0.3570611390122356
LINC01090,18.450378,1.5105963,5.1780729171085307e-76,4.362667676723462e-75,0.0814217292664482
TMEM64,18.450048,1.3342909,5.209925216759326e-76,4.3883905859278704e-75,0.08376800915243063
SRRM1,18.44696,0.084866636,5.516190347937642e-76,4.645183472303359e-75,0.2813790696321576
ZNF329,18.446045,1.100737,5.610372588771798e-76,4.723296436044086e-75,0.08892594675302011
CLIP2,18.432005,0.64842075,7.27365854727701e-76,6.12204203811878e-75,0.13164375327218786
MTCH1,18.419933,0.5456314,9.09159631752066e-76,7.650211964697313e-75,0.12683484904306683
CASP8AP2,18.418737,0.2901897,9.294534568430753e-76,7.818994826708252e-75,0.17827848984894612
